Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
OR2AG2	11p15.4	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR4D9	11q12.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR4X1	11p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR51B4	11p15.4	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR51F2	11p15.4	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR51I2	11p15.4	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR52E2	11p15.4	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR52I2	11p15.4	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR5D18	11q12.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OR5M11	11q12.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ORAI1	12q24.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OSBPL11	3q21.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OSGEPL1-AS1	2q32.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
OXSM	3p24.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
P2RY4	Xq13.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
P4HA2-AS1	5q31.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PAPSS1	4q25	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PARVB	22q13.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PATE1	11q24.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PCAT6	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PCP2	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PCYOX1	2p13.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PDE4B	1p31.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PELI1	2p14	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PEX11G	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PF4V1	4q13.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PGAM1	10q24.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PGLYRP1	19q13.32	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PHETA1	12q24.12	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PHLDA3	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PIH1D1	19q13.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PIN1	19p13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PITX2	4q25	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PKIB	6q22.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PLA2G1B	12q24.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PLA2G4E	15q15.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PLAAT3	11q12.3-q13.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PLN	6q22.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PNPO	17q21.32	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
POLR2M	15q21.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
POMP	13q12.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
POU6F1	12q13.13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PPAN-P2RY11	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PPIL3	2q33.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PPIP5K1	15q15.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PPM1K	4q22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PPP1R12A	12q21.2-q21.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PPP4R3B	2p16.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PRCD	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PRR32	Xq25	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PRRG2	19q13.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PRSS46P	3p21.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
PSMA1	11p15.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
QTRT1	19p13.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RAB3D	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RAB9B	Xq22.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RABIF	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RAPSN	11p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RBFOX2	22q12.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RBM15B	3p21.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RCHY1	4q21.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RDH14	2p24.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
REC114	15q24.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RGMB-AS1	5q15	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RMDN2-AS1	2p22.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNASEH1-DT	2p25.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNF11	1p32.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNF138P1	5q11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNF149	2q11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNF157-AS1	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNF217-AS1	6q22.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNU5F-1	1p34.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RNU6-52P	13q12.11	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ROCK1P1	18p11.32	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ROPN1B	3q21.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPL13A	19q13.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPL14	3p22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPL3	22q13.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPL4	15q22.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPLP2	11p15.5	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPP40	6p25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPS10P7	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPS13	11p15.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPS14	5q33.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPS15AP10	1p34.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPS16P5	6p12.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPS4X	Xq13.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RPS7	2p25.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RRP15	1q41	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RSU1P2	10q11.21	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RUFY1-AS1	5q35.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
RWDD2A	6q14.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SAA2	11p15.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SAP18	13q12.11	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SCARNA16	17q25.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SCARNA27	6p24.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SCFD1	14q12	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SCGB1A1	11q12.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SCGB3A1	5q35.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SCP2D1-AS1	20p11.23	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SCRN3	2q31.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SDS	12q24.13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SEC14L1P1	11p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SELENOKP3	6q22.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SERBP1	1p31.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SERPINA6	14q32.13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SERPINB6	6p25.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SF3A1	22q12.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SF3B6	2p23.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SFXN1	5q35.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SGO1-AS1	3p24.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SH3BP5	3p25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SHISA8	22q13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SHLD1	20p12.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SIGLEC11	19q13.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SKA3	13q12.11	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLC16A8	22q13.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLC22A5	5q31.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLC25A5	Xq24	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLC35D1	1p31.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLC9A3R1	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLFNL1-AS1	1p34.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLIT3-AS1	5q35.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SLX1A	16p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SMIM15-AS1	5q12.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SMIM26	20p11.23	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SMIM45	22q13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SMR3A	4q13.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNHG16	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNHG20	17q25.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNHG28	1q23.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORA13	5q22.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORA36B	1q41	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORA77	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORA7A	3p25.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD103A	1p35.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD103C	1p35.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD105B	2q33.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD17	20p11.23	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD1A	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD1B	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD1C	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD53	2p23.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD92	2p23.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNORD94	2p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNRNP70	19q13.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNRPB2	20p12.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNRPE	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SNX7	1p21.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SP3	2q31.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SP6	17q21.32	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SPACA4	19q13.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SPEF1	20p13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SPG21	15q22.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SPIN3	Xp11.21	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SPINK8	3p21.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SRD5A2	2p23.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SRPRB	3q22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ST3GAL3	1p34.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
STARD4	5q22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
STARD4-AS1	5q22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
STX10	19p13.13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SUCLG1	2p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SYCE2	19p13.13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
SYPL2	1p13.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TAF9	5q13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TAMM41	3p25.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TCEA3	1p36.12	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TCEAL7	Xq22.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TCEAL9	Xq22.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TDGF1	3p21.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TEN1	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TEN1-CDK3	17q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TEX45	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TFAP2A-AS1	6p24.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TGFB2-AS1	1q41	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TIFAB	5q31.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TIMM23	10q11.22	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TIRAP	11q24.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TLX1NB	10q24.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMA7	3p21.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM14B	6p24.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM14C	6p24.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM150A	2p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM170B	6p24.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM174	5q13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM183BP	3q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM219	16p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM258	11q12.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM72-AS1	10q11.21	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMEM9	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMIE	3p21.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMOD2	15q21.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMSB10	2p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TMX2	11q12.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TNFAIP8L3	15q21.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TNFSF18	1q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TNMD	Xq22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TNS2-AS1	12q13.13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TOE1	1p34.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TPRA1	3q21.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TPRX1	19q13.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TPRXL	3p25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TRAM2-AS1	6p12.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TRAPPC5	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TRAV13-1	14q11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TRAV26-1	14q11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TRDN-AS1	6q22.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TSLP	5q22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TSPAN16	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TUBA1A	12q13.12	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
TXNDC15	5q31.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UBA52	19p13.1-p12	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UBE2B	5q31.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UBFD1	16p12.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UBL4B	1p13.3	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UGT2B15	4q13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ULBP3	6q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UNC119B	12q24.31	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UNC50	2q11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UQCRC2	16p12.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
USH1C	11p15.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
USP50	15q21.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
UTP18	17q21.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
WDR35-DT	2p24.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
WDR43	2p23.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
WDR61	15q25.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
WDR77	1p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
WT1	11p13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
XRCC3	14q32.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
YBX1	1p34.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
YJU2B	19p13.13	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
YPEL3	16p11.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
YPEL5	2p23.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZBED6	1q32.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZBTB47	3p22.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZDHHC13	11p15.1	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZMYND12	1p34.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZNF177	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZNF652-AS1	17q21.33	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZNF738	19p12	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ZNF823	19p13.2	3 (1.57%)	0 (0.00%)	>10	0.316	0.667	(A) NON-SARIFA
ABCA17P	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ACE3P	17q23.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ACTL11P	3p21.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ADAM1A	12q24.12-q24.13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ADAMTS7P3	15q24.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
AGBL4-IT1	1p33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
AKR1B1	7q33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ALDH1L1-AS1	3q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ALDH1L1-AS2	3q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ANKRD30BL	2q21.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
AP1AR	4q25	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
APOOP5	16q21	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ARL2BP	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ARMCX5-GPRASP2	Xq22.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ASCL2	11p15.5	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ATP2B1-AS1	12q21.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ATP5MJ	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
BSND	1p32.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
